,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
1104,Australia,Maize,1997,59403,534.0,34091.0,12.13
1105,Australia,Maize,1997,59403,534.0,34091.0,13.93
1106,Australia,Maize,1997,59403,534.0,34091.0,18.94
1107,Australia,Maize,1997,59403,534.0,34091.0,17.51
1108,Australia,Potatoes,1997,313056,534.0,34091.0,16.48
1109,Australia,Potatoes,1997,313056,534.0,34091.0,20.16
1110,Australia,Potatoes,1997,313056,534.0,34091.0,12.13
1111,Australia,Potatoes,1997,313056,534.0,34091.0,13.93
1112,Australia,Potatoes,1997,313056,534.0,34091.0,18.94
1113,Australia,Potatoes,1997,313056,534.0,34091.0,17.51
1114,Australia,"Rice, paddy",1997,83263,534.0,34091.0,16.48
1115,Australia,"Rice, paddy",1997,83263,534.0,34091.0,20.16
1116,Australia,"Rice, paddy",1997,83263,534.0,34091.0,12.13
1117,Australia,"Rice, paddy",1997,83263,534.0,34091.0,13.93
1118,Australia,"Rice, paddy",1997,83263,534.0,34091.0,18.94
1119,Australia,"Rice, paddy",1997,83263,534.0,34091.0,17.51
1120,Australia,Sorghum,1997,26195,534.0,34091.0,16.48
1121,Australia,Sorghum,1997,26195,534.0,34091.0,20.16
1122,Australia,Sorghum,1997,26195,534.0,34091.0,12.13
1123,Australia,Sorghum,1997,26195,534.0,34091.0,13.93
1124,Australia,Sorghum,1997,26195,534.0,34091.0,18.94
1125,Australia,Sorghum,1997,26195,534.0,34091.0,17.51
1126,Australia,Soybeans,1997,18974,534.0,34091.0,16.48
1127,Australia,Soybeans,1997,18974,534.0,34091.0,20.16
1128,Australia,Soybeans,1997,18974,534.0,34091.0,12.13
1129,Australia,Soybeans,1997,18974,534.0,34091.0,13.93
1130,Australia,Soybeans,1997,18974,534.0,34091.0,18.94
1131,Australia,Soybeans,1997,18974,534.0,34091.0,17.51
1132,Australia,Sweet potatoes,1997,244444,534.0,34091.0,16.48
1133,Australia,Sweet potatoes,1997,244444,534.0,34091.0,20.16
1134,Australia,Sweet potatoes,1997,244444,534.0,34091.0,12.13
1135,Australia,Sweet potatoes,1997,244444,534.0,34091.0,13.93
1136,Australia,Sweet potatoes,1997,244444,534.0,34091.0,18.94
1137,Australia,Sweet potatoes,1997,244444,534.0,34091.0,17.51
1138,Australia,Wheat,1997,18412,534.0,34091.0,16.48
1139,Australia,Wheat,1997,18412,534.0,34091.0,20.16
1140,Australia,Wheat,1997,18412,534.0,34091.0,12.13
1141,Australia,Wheat,1997,18412,534.0,34091.0,13.93
1142,Australia,Wheat,1997,18412,534.0,34091.0,18.94
1143,Australia,Wheat,1997,18412,534.0,34091.0,17.51
1144,Australia,Maize,1998,47544,534.0,,16.28
1145,Australia,Maize,1998,47544,534.0,,20.62
1146,Australia,Maize,1998,47544,534.0,,12.46
1147,Australia,Maize,1998,47544,534.0,,13.61
1148,Australia,Maize,1998,47544,534.0,,18.9
1149,Australia,Maize,1998,47544,534.0,,18.05
1150,Australia,Potatoes,1998,322292,534.0,,16.28
1151,Australia,Potatoes,1998,322292,534.0,,20.62
1152,Australia,Potatoes,1998,322292,534.0,,12.46
1153,Australia,Potatoes,1998,322292,534.0,,13.61
1154,Australia,Potatoes,1998,322292,534.0,,18.9
1155,Australia,Potatoes,1998,322292,534.0,,18.05
1156,Australia,"Rice, paddy",1998,94256,534.0,,16.28
1157,Australia,"Rice, paddy",1998,94256,534.0,,20.62
1158,Australia,"Rice, paddy",1998,94256,534.0,,12.46
1159,Australia,"Rice, paddy",1998,94256,534.0,,13.61
1160,Australia,"Rice, paddy",1998,94256,534.0,,18.9
1161,Australia,"Rice, paddy",1998,94256,534.0,,18.05
1162,Australia,Sorghum,1998,21321,534.0,,16.28
1163,Australia,Sorghum,1998,21321,534.0,,20.62
1164,Australia,Sorghum,1998,21321,534.0,,12.46
1165,Australia,Sorghum,1998,21321,534.0,,13.61
1166,Australia,Sorghum,1998,21321,534.0,,18.9
1167,Australia,Sorghum,1998,21321,534.0,,18.05
1168,Australia,Soybeans,1998,17035,534.0,,16.28
1169,Australia,Soybeans,1998,17035,534.0,,20.62
1170,Australia,Soybeans,1998,17035,534.0,,12.46
1171,Australia,Soybeans,1998,17035,534.0,,13.61
1172,Australia,Soybeans,1998,17035,534.0,,18.9
1173,Australia,Soybeans,1998,17035,534.0,,18.05
1174,Australia,Sweet potatoes,1998,276923,534.0,,16.28
1175,Australia,Sweet potatoes,1998,276923,534.0,,20.62
1176,Australia,Sweet potatoes,1998,276923,534.0,,12.46
1177,Australia,Sweet potatoes,1998,276923,534.0,,13.61
1178,Australia,Sweet potatoes,1998,276923,534.0,,18.9
1179,Australia,Sweet potatoes,1998,276923,534.0,,18.05
1180,Australia,Wheat,1998,19153,534.0,,16.28
1181,Australia,Wheat,1998,19153,534.0,,20.62
1182,Australia,Wheat,1998,19153,534.0,,12.46
1183,Australia,Wheat,1998,19153,534.0,,13.61
1184,Australia,Wheat,1998,19153,534.0,,18.9
1185,Australia,Wheat,1998,19153,534.0,,18.05
1186,Australia,Maize,1999,51212,534.0,34200.0,16.77
1187,Australia,Maize,1999,51212,534.0,34200.0,19.75
1188,Australia,Maize,1999,51212,534.0,34200.0,12.1
1189,Australia,Maize,1999,51212,534.0,34200.0,14.2
1190,Australia,Maize,1999,51212,534.0,34200.0,19.28
1191,Australia,Maize,1999,51212,534.0,34200.0,17.55
1192,Australia,Potatoes,1999,321265,534.0,34200.0,16.77
1193,Australia,Potatoes,1999,321265,534.0,34200.0,19.75
1194,Australia,Potatoes,1999,321265,534.0,34200.0,12.1
1195,Australia,Potatoes,1999,321265,534.0,34200.0,14.2
1196,Australia,Potatoes,1999,321265,534.0,34200.0,19.28
1197,Australia,Potatoes,1999,321265,534.0,34200.0,17.55
1198,Australia,"Rice, paddy",1999,91615,534.0,34200.0,16.77
1199,Australia,"Rice, paddy",1999,91615,534.0,34200.0,19.75
1200,Australia,"Rice, paddy",1999,91615,534.0,34200.0,12.1
1201,Australia,"Rice, paddy",1999,91615,534.0,34200.0,14.2
1202,Australia,"Rice, paddy",1999,91615,534.0,34200.0,19.28
1203,Australia,"Rice, paddy",1999,91615,534.0,34200.0,17.55
1204,Australia,Sorghum,1999,32215,534.0,34200.0,16.77
1205,Australia,Sorghum,1999,32215,534.0,34200.0,19.75
1206,Australia,Sorghum,1999,32215,534.0,34200.0,12.1
1207,Australia,Sorghum,1999,32215,534.0,34200.0,14.2
1208,Australia,Sorghum,1999,32215,534.0,34200.0,19.28
1209,Australia,Sorghum,1999,32215,534.0,34200.0,17.55
1210,Australia,Soybeans,1999,22667,534.0,34200.0,16.77
1211,Australia,Soybeans,1999,22667,534.0,34200.0,19.75
1212,Australia,Soybeans,1999,22667,534.0,34200.0,12.1
1213,Australia,Soybeans,1999,22667,534.0,34200.0,14.2
1214,Australia,Soybeans,1999,22667,534.0,34200.0,19.28
1215,Australia,Soybeans,1999,22667,534.0,34200.0,17.55
1216,Australia,Sweet potatoes,1999,275000,534.0,34200.0,16.77
1217,Australia,Sweet potatoes,1999,275000,534.0,34200.0,19.75
1218,Australia,Sweet potatoes,1999,275000,534.0,34200.0,12.1
1219,Australia,Sweet potatoes,1999,275000,534.0,34200.0,14.2
1220,Australia,Sweet potatoes,1999,275000,534.0,34200.0,19.28
1221,Australia,Sweet potatoes,1999,275000,534.0,34200.0,17.55
1222,Australia,Wheat,1999,20066,534.0,34200.0,16.77
1223,Australia,Wheat,1999,20066,534.0,34200.0,19.75
1224,Australia,Wheat,1999,20066,534.0,34200.0,12.1
1225,Australia,Wheat,1999,20066,534.0,34200.0,14.2
1226,Australia,Wheat,1999,20066,534.0,34200.0,19.28
1227,Australia,Wheat,1999,20066,534.0,34200.0,17.55
1228,Australia,Maize,2000,49360,534.0,33475.0,17.08
1229,Australia,Maize,2000,49360,534.0,33475.0,19.89
1230,Australia,Maize,2000,49360,534.0,33475.0,12.09
1231,Australia,Maize,2000,49360,534.0,33475.0,14.32
1232,Australia,Maize,2000,49360,534.0,33475.0,19.07
1233,Australia,Maize,2000,49360,534.0,33475.0,17.57
1234,Australia,Potatoes,2000,284527,534.0,33475.0,17.08
1235,Australia,Potatoes,2000,284527,534.0,33475.0,19.89
1236,Australia,Potatoes,2000,284527,534.0,33475.0,12.09
1237,Australia,Potatoes,2000,284527,534.0,33475.0,14.32
1238,Australia,Potatoes,2000,284527,534.0,33475.0,19.07
1239,Australia,Potatoes,2000,284527,534.0,33475.0,17.57
1240,Australia,"Rice, paddy",2000,82573,534.0,33475.0,17.08
1241,Australia,"Rice, paddy",2000,82573,534.0,33475.0,19.89
1242,Australia,"Rice, paddy",2000,82573,534.0,33475.0,12.09
1243,Australia,"Rice, paddy",2000,82573,534.0,33475.0,14.32
1244,Australia,"Rice, paddy",2000,82573,534.0,33475.0,19.07
1245,Australia,"Rice, paddy",2000,82573,534.0,33475.0,17.57
1246,Australia,Sorghum,2000,34003,534.0,33475.0,17.08
1247,Australia,Sorghum,2000,34003,534.0,33475.0,19.89
1248,Australia,Sorghum,2000,34003,534.0,33475.0,12.09
1249,Australia,Sorghum,2000,34003,534.0,33475.0,14.32
1250,Australia,Sorghum,2000,34003,534.0,33475.0,19.07
1251,Australia,Sorghum,2000,34003,534.0,33475.0,17.57
1252,Australia,Soybeans,2000,18714,534.0,33475.0,17.08
1253,Australia,Soybeans,2000,18714,534.0,33475.0,19.89
